artifact=/tmp/pr23198-35b-mtp-8k-speed-20260518-000954
config,prompt_toks,prompt_tps,pred_toks,pred_tps,pred_ms,draft_n,draft_acc,accept_rate,log
n0,7281,2240.20,128,75.11,1704.2,0,0,0.0%,/tmp/pr23198-35b-mtp-8k-speed-20260518-000954/n0.log
n3,7281,1927.00,128,101.67,1259.0,135,81,60.0%,/tmp/pr23198-35b-mtp-8k-speed-20260518-000954/n3.log
n4,7281,1927.09,128,91.22,1403.2,160,85,53.1%,/tmp/pr23198-35b-mtp-8k-speed-20260518-000954/n4.log
n5,7281,1929.44,128,82.99,1542.3,195,86,44.1%,/tmp/pr23198-35b-mtp-8k-speed-20260518-000954/n5.log
n6,7281,1940.35,128,78.22,1636.3,222,88,39.6%,/tmp/pr23198-35b-mtp-8k-speed-20260518-000954/n6.log
n7,7281,1928.12,128,73.58,1739.6,258,89,34.5%,/tmp/pr23198-35b-mtp-8k-speed-20260518-000954/n7.log
