artifact=/tmp/pr23198-27b-mtp-8k-speed-20260518-001214
config,prompt_toks,prompt_tps,pred_toks,pred_tps,pred_ms,draft_n,draft_acc,accept_rate,log
n0,7281,682.84,128,26.10,4904.2,0,0,0.0%,/tmp/pr23198-27b-mtp-8k-speed-20260518-001214/n0.log
n3,7281,632.04,128,47.26,2708.7,110,90,81.8%,/tmp/pr23198-27b-mtp-8k-speed-20260518-001214/n3.log
n4,7281,630.33,128,47.04,2721.1,121,96,79.3%,/tmp/pr23198-27b-mtp-8k-speed-20260518-001214/n4.log
n5,7281,631.38,128,43.50,2942.4,139,97,69.8%,/tmp/pr23198-27b-mtp-8k-speed-20260518-001214/n5.log
n6,7281,628.83,128,44.05,2905.7,149,101,67.8%,/tmp/pr23198-27b-mtp-8k-speed-20260518-001214/n6.log
n7,7281,632.33,128,41.73,3067.2,164,102,62.2%,/tmp/pr23198-27b-mtp-8k-speed-20260518-001214/n7.log
