
ROCPROFV3 SUMMARY:

|                                                                                                                                                                                                                                                                            NAME                                                                                                                                                                                                                                                                             |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
| void topk_moe_cuda<256, false>(float const*, float*, int*, float*, int, int, float, float, topk_moe_config)                                                                                                                                                                                                                                                                                                                                                                                                                                                 | KERNEL_DISPATCH |               8 |          123600 |       1.545e+04 |      0.442125 |           11040 |           22880 |       5.774e+03 |
| void rope_multi<true, false, float>(float const*, float*, int, int, int, int, int, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, mrope_sections, bool)                                                                                                                                                                                                                                                                                                                                                     | KERNEL_DISPATCH |               8 |          104201 |       1.303e+04 |      0.372734 |            3960 |           25080 |       9.654e+03 |
| void cpy_scalar<&(void cpy_1_scalar<float, float>(char const*, char*))>(char const*, char*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)                                                                                                                                                                                                                                                                                                                                                                       | KERNEL_DISPATCH |               8 |           67560 |       8.445e+03 |      0.241666 |            6480 |            9920 |       1.271e+03 |
| void rms_norm_f32<256, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)                                                                                                             | KERNEL_DISPATCH |              12 |           63280 |       5.273e+03 |      0.226357 |            3760 |            7400 |       1.523e+03 |
| void k_bin_bcast<&(op_add(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*)                                                                                                                                                                         | KERNEL_DISPATCH |              12 |           56280 |       4.690e+03 |      0.201317 |            3280 |            6400 |       1.326e+03 |
| void k_bin_bcast<&(op_add(float, float)), float, float, float, float const*, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*, float const*)                                                                                                                                             | KERNEL_DISPATCH |              12 |           53200 |       4.433e+03 |      0.190300 |            3520 |            7000 |       1.041e+03 |
| void unary_op_kernel<&(op_sigmoid(float)), float>(float const*, float*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | KERNEL_DISPATCH |              16 |           52920 |       3.308e+03 |      0.189298 |            2320 |            6720 |       1.323e+03 |
| void k_bin_bcast<&(op_add(float, float)), float, float, float, float const*, float const*, float const*, float const*, float const*, float const*, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, float const*, float const*, float const*, float const*, float const*, float const*, float const*) | KERNEL_DISPATCH |               8 |           40160 |       5.020e+03 |      0.143655 |            4120 |            5680 |       6.795e+02 |
| void gated_delta_net_cuda<128, false, false>(float const*, float const*, float const*, float const*, float const*, float const*, float*, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float, int)                                                                                                                                                                                                                                                          | KERNEL_DISPATCH |               4 |           38560 |       9.640e+03 |      0.137932 |            7320 |           11080 |       1.617e+03 |
| void l2_norm_f32<32>(float const*, float*, int, long, long, long, float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | KERNEL_DISPATCH |               8 |           37920 |       4.740e+03 |      0.135642 |            3400 |            6640 |       1.501e+03 |
| void ssm_conv_f32<true, 128ul, 4ul>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long)                                                                                                                                                                                                                                                                                                                                                                                                                              | KERNEL_DISPATCH |               4 |           29560 |       7.390e+03 |      0.105738 |            6760 |            8720 |       8.964e+02 |
| k_tbq4_rotate_input(float*, long, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | KERNEL_DISPATCH |               4 |           29361 |       7.340e+03 |      0.105026 |            6120 |            8801 |       1.103e+03 |
| void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                          | KERNEL_DISPATCH |               4 |           26640 |       6.660e+03 |      0.095293 |            4800 |            8360 |       1.924e+03 |
| void concat_f32_cont<0>(float const*, float const*, float*, long, long, long, long, long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                             | KERNEL_DISPATCH |               4 |           25840 |       6.460e+03 |      0.092431 |            4320 |            7240 |       1.428e+03 |
| void unary_gated_op_kernel<&(op_softplus(float)), float>(float const*, float const*, float*, long, long, long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                        | KERNEL_DISPATCH |               4 |           25320 |       6.330e+03 |      0.090571 |            5200 |            7320 |       8.748e+02 |
| void unary_gated_op_kernel<&(op_silu(float)), float>(float const*, float const*, float*, long, long, long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                            | KERNEL_DISPATCH |               4 |           23761 |       5.940e+03 |      0.084995 |            4960 |            6360 |       6.570e+02 |
| void unary_gated_op_kernel<&(op_sigmoid(float)), float>(float const*, float const*, float*, long, long, long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                         | KERNEL_DISPATCH |               4 |           23600 |       5.900e+03 |      0.084419 |            4080 |            7160 |       1.298e+03 |
| __amd_rocclr_fillBufferAligned                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | KERNEL_DISPATCH |               2 |           20200 |       1.010e+04 |      0.072257 |            7320 |           12880 |       3.932e+03 |
| k_tbq4_rotate_output(float*, long, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | KERNEL_DISPATCH |               4 |           17560 |       4.390e+03 |      0.062813 |            3560 |            5160 |       7.888e+02 |
| scale_f32(float const*, float*, float, float, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | KERNEL_DISPATCH |               2 |           16560 |       8.280e+03 |      0.059236 |            4080 |           12480 |       5.940e+03 |
